"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
42,"1","No Truck","2025-01-26T13:57:13.094980Z",14440,"/data/upload/4/88d7ee5a-img_440.jpg",12.699,"2025-01-26T14:53:54.737285Z"
62,"1","No Truck","2025-01-26T14:53:57.984677Z",14441,"/data/upload/4/045e5a75-img_441.jpg",26.793999999999997,"2025-01-26T14:57:32.792909Z"
44,"1","Truck","2025-01-26T13:58:22.638573Z",14442,"/data/upload/4/3f14fdfe-img_442.jpg",13.337,"2025-01-26T15:51:41.786373Z"
45,"1","No Truck","2025-01-26T13:58:35.734814Z",14443,"/data/upload/4/8b3a4555-img_443.jpg",17.739,"2025-01-26T13:58:35.734839Z"
46,"1","No Truck","2025-01-26T13:58:56.311255Z",14444,"/data/upload/4/e826d9a4-img_444.jpg",18.241,"2025-01-26T13:58:56.311276Z"
47,"1","No Truck","2025-01-26T13:59:06.136299Z",14445,"/data/upload/4/902444ec-img_445.jpg",9.133,"2025-01-26T15:33:16.422572Z"
48,"1","Truck","2025-01-26T13:59:11.702408Z",14446,"/data/upload/4/544e00b9-img_446.jpg",24.445,"2025-01-26T15:51:10.599183Z"
49,"1","No Truck","2025-01-26T13:59:22.527783Z",14447,"/data/upload/4/8dc08fd0-img_447.jpg",8.837,"2025-01-26T13:59:22.527806Z"
50,"1","No Truck","2025-01-26T14:00:06.320022Z",14448,"/data/upload/4/a68a4c1d-img_448.jpg",49.199,"2025-01-26T14:55:53.600856Z"
51,"1","No Truck","2025-01-26T14:00:44.832786Z",14449,"/data/upload/4/f38d2432-img_449.jpg",23.718,"2025-01-26T14:56:25.626658Z"
52,"1","No Truck","2025-01-26T14:01:04.148161Z",14450,"/data/upload/4/8e102306-img_450.jpg",26.769000000000002,"2025-01-26T14:56:15.762377Z"
53,"1","No Truck","2025-01-26T14:01:24.262616Z",14451,"/data/upload/4/0009a90e-img_451.jpg",17.814,"2025-01-26T14:01:24.262639Z"
54,"1","No Truck","2025-01-26T14:01:49.849485Z",14452,"/data/upload/4/498754e7-img_452.jpg",26.285,"2025-01-26T14:56:04.278917Z"
55,"1","Truck","2025-01-26T14:02:01.174350Z",14453,"/data/upload/4/932e55bd-img_453.jpg",14.373000000000001,"2025-01-26T15:51:21.711598Z"
56,"1","No Truck","2025-01-26T14:02:13.113355Z",14454,"/data/upload/4/f5966d33-img_454.jpg",10.154,"2025-01-26T14:02:13.113375Z"
57,"1","No Truck","2025-01-26T14:02:24.693245Z",14455,"/data/upload/4/9613585b-img_455.jpg",13.093,"2025-01-26T14:56:40.980212Z"
58,"1","No Truck","2025-01-26T14:02:46.677645Z",14456,"/data/upload/4/c07f3a3f-img_456.jpg",28.021,"2025-01-26T14:56:49.550133Z"
59,"1","No Truck","2025-01-26T14:02:54.898376Z",14457,"/data/upload/4/aac69894-img_457.jpg",5.909,"2025-01-26T14:02:54.898396Z"
60,"1","No Truck","2025-01-26T14:03:15.140930Z",14458,"/data/upload/4/8ca39cbe-img_458.jpg",27.825000000000003,"2025-01-26T14:57:03.533281Z"
61,"1","No Truck","2025-01-26T14:03:27.845103Z",14459,"/data/upload/4/b61ea18c-img_459.jpg",26.483,"2025-01-26T14:57:20.017054Z"
